customer_id,first_name,last_name,email,phone_number,date_of_birth,gender,address_line1,city,state,pincode,signup_date,customer_segment,is_active,last_order_date,updated_at
CUST000001,Atharv,Rajan,falguni29@example.org,0974361082,1980-07-27,Male,"48/97
Venkataraman Marg",Delhi,Delhi,976730,2025-11-05,Regular,True,2026-04-24,2026-05-13 16:45:36.996238
CUST000002,Krishna,Rao,wjain@example.com,1115498426,1966-02-03,Female,"78, Chandran",Mumbai,Maharashtra,953187,2025-12-26,Occasional,True,2026-05-04,2026-05-13 16:45:36.996747
CUST000003,Saanvi,Dhar,kaibarad@example.com,3379516290,2005-02-05,Male,"173, Tank Nagar",Chennai,Tamil Nadu,013269,2024-06-12,Occasional,False,2026-05-11,2026-05-13 16:45:36.996747
CUST000004,Urvashi,Jayaraman,behlanamika@example.net,9384728528,1960-12-23,Male,"H.No. 235, Dara Chowk",Delhi,Delhi,398936,2024-08-12,Occasional,True,2026-04-23,2026-05-13 16:45:36.996747
CUST000005,Peter,Menon,wsehgal@example.com,5984010062,1985-06-04,Female,"65/73, Atwal Marg",Pune,Maharashtra,213489,2025-08-31,Premium,True,2026-04-17,2026-05-13 16:45:36.997755
CUST000006,Baghyawati,Tandon,narulacharan@example.com,3239282719,2004-06-01,Male,"H.No. 344, Sabharwal",Mumbai,Maharashtra,952138,2023-09-23,Occasional,True,2026-04-16,2026-05-13 16:45:36.997755
CUST000007,Rachit,Varty,kairamakrishnan@example.com,5702306065,1983-05-05,Male,"737, Bava Road",Bangalore,Karnataka,536939,2023-07-28,Occasional,True,2026-05-04,2026-05-13 16:45:36.997755
CUST000008,Manthan,Bansal,spal@example.com,4884048358,1986-08-06,Male,"H.No. 59
Boase Zila",Jaipur,Rajasthan,067294,2025-10-19,Regular,True,2026-05-10,2026-05-13 16:45:36.998759
CUST000009,Ria,Shukla,jeremiah73@example.org,0724342336,2004-03-29,Male,"H.No. 46
Taneja Circle",Gurgaon,Haryana,782182,2023-10-30,Regular,True,2026-04-29,2026-05-13 16:45:36.998759
CUST000010,Yashodhara,Vala,desaiqasim@example.net,2270529391,1966-02-01,Male,"23/164, Raju",Jaipur,Rajasthan,987441,2025-02-28,Regular,True,2026-05-02,2026-05-13 16:45:36.999268
