agent_id,agent_name,phone_number,city,vehicle_type,joining_date,agent_rating,availability_status,updated_at
AGENT00001,Geetika Bala,5603235557,Chennai,Scooter,2025-09-21,3.1,OFFLINE,2026-05-13 17:23:16.859555
AGENT00002,Kavya Jayaraman,3126549194,Hyderabad,Scooter,2021-09-18,4.6,AVAILABLE,2026-05-13 17:23:16.859555
AGENT00003,Vivaan Parmer,1225360418,Bangalore,Bike,2024-05-12,3.6,OFFLINE,2026-05-13 17:23:16.859555
AGENT00004,Finn Bora,2310836654,Delhi,Cycle,2021-11-28,4.0,AVAILABLE,2026-05-13 17:23:16.859555
AGENT00005,Viraj Bahri,4572629955,Kolkata,Scooter,2023-03-03,3.0,OFFLINE,2026-05-13 17:23:16.859555
AGENT00006,Thomas Srivastava,3212584125,Jaipur,Bike,2023-11-18,4.2,OFFLINE,2026-05-13 17:23:16.859555
AGENT00007,Garima Vohra,9897049035,Pune,Bike,2023-08-10,3.7,OFFLINE,2026-05-13 17:23:16.859555
AGENT00008,Abha Mutti,8688779407,Mumbai,Bike,2023-07-24,3.8,AVAILABLE,2026-05-13 17:23:16.860959
AGENT00009,Ranveer Wali,1858601037,Chennai,Bike,2022-01-13,3.7,BUSY,2026-05-13 17:23:16.860959
AGENT00010,Chaitanya Sachdeva,0011826200,Chennai,Car,2022-06-21,4.4,OFFLINE,2026-05-13 17:23:16.860959
AGENT00011,Darpan Basu,6868694174,Bangalore,Bike,2024-10-21,3.2,BUSY,2026-05-13 17:23:16.860959
AGENT00012,William Saxena,3742743320,Delhi,Cycle,2023-10-26,3.9,OFFLINE,2026-05-13 17:23:16.860959
AGENT00013,Laban Chawla,9110413839,Mumbai,Bike,2021-07-29,4.5,OFFLINE,2026-05-13 17:23:16.860959
AGENT00014,Idika Modi,6345311112,Gurgaon,Car,2022-03-22,3.5,OFFLINE,2026-05-13 17:23:16.860959
AGENT00015,Akshay Arya,4142072237,Hyderabad,Bike,2021-08-20,3.4,BUSY,2026-05-13 17:23:16.860959
AGENT00016,Yasti Kapadia,2607075241,Gurgaon,Car,2025-09-30,4.1,AVAILABLE,2026-05-13 17:23:16.860959
AGENT00017,Pavani Sant,2843361100,Hyderabad,Scooter,2023-05-07,4.5,AVAILABLE,2026-05-13 17:23:16.860959
AGENT00018,Benjamin Bhagat,4919044274,Chennai,Scooter,2024-01-31,3.4,BUSY,2026-05-13 17:23:16.860959
AGENT00019,Kamala Mitra,1735322156,Delhi,Scooter,2022-12-27,3.1,BUSY,2026-05-13 17:23:16.860959
AGENT00020,Anmol Mittal,2055525134,Gurgaon,Scooter,2024-12-31,4.8,OFFLINE,2026-05-13 17:23:16.860959
AGENT00021,Lavanya Vig,9661196189,Delhi,Cycle,2024-09-11,4.9,BUSY,2026-05-13 17:23:16.860959
AGENT00022,Harish Palan,5398476888,Mumbai,Car,2022-12-22,3.2,AVAILABLE,2026-05-13 17:23:16.860959
AGENT00023,David Atwal,1827872801,Chennai,Scooter,2023-05-28,4.4,BUSY,2026-05-13 17:23:16.860959
AGENT00024,Jack Wable,5511174764,Gurgaon,Car,2025-05-13,3.0,OFFLINE,2026-05-13 17:23:16.860959
AGENT00025,Yashawini Panchal,3596093926,Bangalore,Bike,2021-07-26,4.2,BUSY,2026-05-13 17:23:16.860959
AGENT00026,Geetika Batta,2116398227,Pune,Scooter,2026-03-17,3.8,BUSY,2026-05-13 17:23:16.860959
AGENT00027,Jhalak Brar,1787826858,Mumbai,Cycle,2023-03-09,3.2,OFFLINE,2026-05-13 17:23:16.860959
AGENT00028,Lopa Warrior,5804657103,Gurgaon,Bike,2021-12-19,4.9,BUSY,2026-05-13 17:23:16.860959
AGENT00029,Zashil Doshi,6379953588,Kolkata,Car,2022-09-19,4.4,OFFLINE,2026-05-13 17:23:16.860959
AGENT00030,Brijesh Muni,2714071867,Chennai,Cycle,2025-02-22,4.1,OFFLINE,2026-05-13 17:23:16.860959
AGENT00031,Liam Soman,5733773950,Chennai,Bike,2022-04-29,3.5,BUSY,2026-05-13 17:23:16.860959
AGENT00032,Rajeshri Sastry,0284765174,Kolkata,Car,2025-08-17,4.3,OFFLINE,2026-05-13 17:23:16.860959
AGENT00033,Jasmit Sethi,2861644637,Gurgaon,Cycle,2022-06-19,3.1,OFFLINE,2026-05-13 17:23:16.860959
AGENT00034,Liam Yadav,0081200695,Mumbai,Car,2021-12-29,4.0,AVAILABLE,2026-05-13 17:23:16.860959
AGENT00035,Niharika Babu,9089741199,Hyderabad,Cycle,2023-04-24,3.4,AVAILABLE,2026-05-13 17:23:16.860959
AGENT00036,Yashoda Kumer,1060166065,Chennai,Car,2022-12-10,4.9,OFFLINE,2026-05-13 17:23:16.860959
AGENT00037,Reva Chakraborty,2698180699,Kolkata,Cycle,2021-06-24,3.9,OFFLINE,2026-05-13 17:23:16.860959
AGENT00038,Hemang Chaudhuri,3741923066,Jaipur,Cycle,2023-05-18,5.0,OFFLINE,2026-05-13 17:23:16.860959
AGENT00039,Zarna Mammen,7940457946,Delhi,Car,2025-04-10,3.3,AVAILABLE,2026-05-13 17:23:16.862480
AGENT00040,Neelima Rama,9886523620,Gurgaon,Cycle,2023-10-31,4.7,OFFLINE,2026-05-13 17:23:16.862480
AGENT00041,Keya Barad,1106975882,Jaipur,Car,2022-05-24,3.1,AVAILABLE,2026-05-13 17:23:16.862480
AGENT00042,Zayyan Gola,5637156238,Kolkata,Car,2025-09-03,3.9,BUSY,2026-05-13 17:23:16.862480
AGENT00043,Aayush Suri,2648501691,Pune,Scooter,2024-06-02,4.8,OFFLINE,2026-05-13 17:23:16.862480
AGENT00044,Vrishti Thakkar,3143210425,Chennai,Scooter,2024-10-13,3.1,OFFLINE,2026-05-13 17:23:16.862480
AGENT00045,Pranav Varma,4439934381,Jaipur,Cycle,2023-09-23,3.8,OFFLINE,2026-05-13 17:23:16.862480
AGENT00046,Chavvi Mann,8736320954,Delhi,Car,2025-11-15,3.8,AVAILABLE,2026-05-13 17:23:16.862480
AGENT00047,Harsh Sawhney,4428566899,Jaipur,Scooter,2024-10-29,4.6,BUSY,2026-05-13 17:23:16.862480
AGENT00048,Wishi Palan,4251944431,Bangalore,Car,2022-05-28,3.3,BUSY,2026-05-13 17:23:16.862480
AGENT00049,Nisha Mitra,4934866515,Chennai,Car,2025-03-08,3.9,OFFLINE,2026-05-13 17:23:16.862480
AGENT00050,Peter Sundaram,3072931569,Hyderabad,Car,2025-10-03,3.3,OFFLINE,2026-05-13 17:23:16.862480
AGENT00051,Fiyaz Borde,4592189363,Mumbai,Bike,2024-01-30,4.0,AVAILABLE,2026-05-13 17:23:16.862480
AGENT00052,Indira Agate,9520787298,Chennai,Bike,2022-09-27,3.4,BUSY,2026-05-13 17:23:16.862480
